contact_id,canonical_contact_id,validation_status,organization_name,organization_domain,ICP_cluster,contact_name,contact_title,contact_role_classification,source_quality_score,role_relevance_score,email_validation_status,email_confidence_score,geographic_or_scope_flag,duplicate_status,final_contact_score,final_priority_band,recommended_next_action,human_review_required,validation_notes,source_url
RC-0001,RC-0001,validated_priority_B,Osso VR,osso.com,xr_software_vendor,Justin Barad,CEO,executive_buyer,7,9,not_collected,0,default_scope_unknown,unique,76,contact_priority_B,advance_to_deeper_contact_research,true,"Strong vendor-side fit and healthcare VR training relevance; needs official current-role confirmation and public email-source validation before any outreach",https://www.axios.com/2022/03/24/osso-vr-nets-66m-series-c
RC-0003,RC-0003,validated_priority_A,Strivr,strivr.com,xr_software_vendor,Derek Belch,CEO,executive_buyer,8,9,not_collected,0,default_scope_likely,canonical_duplicate_merged,84,contact_priority_A,advance_to_deeper_contact_research,true,"Canonical Strivr record; kept over RC-0002 because it has stronger deployment-scale evidence tied to Walmart training context; verify current role and official contact route",https://www.axios.com/2021/09/29/virtual-reality-training-walmart-nfl
RC-0004,RC-0004,validated_priority_B,Virti,virti.com,xr_software_vendor,Dr Alexander Young,Founder,executive_buyer,5,8,not_collected,0,default_scope_unknown,unique,67,contact_priority_C,hold_for_official_source_confirmation,true,"Good immersive training vendor fit but current role and official contact source need verification; no email collected",https://en.wikipedia.org/wiki/Virti
RC-0005,RC-0005,validated_priority_B,Virti,virti.com,xr_software_vendor,Kurt Kratchman,CEO,executive_buyer,5,8,not_collected,0,default_scope_unknown,unique,67,contact_priority_C,hold_for_official_source_confirmation,true,"Good immersive training vendor fit but current role and official contact source need verification; no email collected",https://en.wikipedia.org/wiki/Virti
RC-0006,RC-0006,validated_priority_C,VirtaMed,virtamed.com,medical_simulation,Stefan Tuchschmid,Co-founder,executive_or_founder,5,7,not_collected,0,outside_default_scope_or_needs_region_review,unique,58,contact_priority_C,hold_for_region_and_current_role_review,true,"Medical simulation fit is plausible but source is public profile and geography/service-region fit needs review",https://en.wikipedia.org/wiki/VirtaMed
RC-0007,RC-0007,validated_priority_C,VirtaMed,virtamed.com,medical_simulation,Daniel Bachofen,Co-founder,executive_or_founder,5,7,not_collected,0,outside_default_scope_or_needs_region_review,unique,58,contact_priority_C,hold_for_region_and_current_role_review,true,"Medical simulation fit is plausible but source is public profile and geography/service-region fit needs review",https://en.wikipedia.org/wiki/VirtaMed
RC-0008,RC-0008,hold_needs_more_research,MSR - The Israel Center for Medical Simulation,msr.org.il,medical_simulation,Amitai Ziv,Founder and Director,program_champion,5,7,not_collected,0,outside_default_scope,unique,52,hold,hold_unless_international_outreach_approved,true,"Strong medical simulation context but outside default United States/Canada scope; no email collected; current role needs official confirmation",https://en.wikipedia.org/wiki/Amitai_Ziv
RC-0009,RC-0009,hold_needs_more_research,Virtual Reality and Education Laboratory,ecu.edu,higher_education_xr,Veronica S. Pantelidis,Professor and Co-director,program_champion,4,6,not_collected,0,default_scope_likely,unique,49,hold,hold_for_current_association_review,true,"Useful higher-ed XR calibration record, but source may be historical/stale; verify current association before any contact research",https://en.wikipedia.org/wiki/Virtual_Reality_and_Education_Laboratory
RC-0010,RC-0010,hold_needs_more_research,Virtual Reality and Education Laboratory,ecu.edu,higher_education_xr,David C. Vinciguerra,VR Instructor and Co-director,program_champion,4,6,not_collected,0,default_scope_likely,unique,49,hold,hold_for_current_association_review,true,"Useful higher-ed XR calibration record, but source may be historical/stale; verify current association before any contact research",https://en.wikipedia.org/wiki/Virtual_Reality_and_Education_Laboratory
RC-0011,RC-0011,hold_low_fit,XR Lab / TimeWave,timewavefestival.com,enterprise_innovation_lab,J Dakota Powell,Founder,program_champion,4,5,not_collected,0,default_scope_unknown,unique,42,hold,hold_for_fit_review,true,"Immersive media/XR lab signal exists, but operational fleet/support pain is unclear; lower priority",https://en.wikipedia.org/wiki/J_Dakota_Powell
RC-0012,RC-0012,hold_low_fit,The Virtual Reality Company,thevrcompany.com,location_based_entertainment,Guy Primus,CEO and co-founder,executive_buyer,4,5,not_collected,0,default_scope_unknown,unique,44,hold,hold_for_current_role_and_fit_review,true,"XR company leadership signal exists, but Reboot Imagine managed-services fit is less direct; validate current business relevance before outreach",https://en.wikipedia.org/wiki/Guy_Primus
