lead_id,validation_status,organization_name,organization_domain,ICP_cluster,ICP_fit_score,XR_signal_score,trigger_score,operational_pain_score,source_quality_score,geography_score,compliance_risk_score,final_org_score,final_priority_band,recommended_next_action,human_review_required,validation_notes,source_url
OL-0001,validated_priority_A,Strivr,strivr.com,xr_software_vendor,30,20,18,15,8,5,4,100,validated_priority_A,advance_to_contact_research,true,"Strong enterprise VR vendor/deployment fit; official current contacts required",https://www.axios.com/2021/09/29/virtual-reality-training-walmart-nfl
OL-0002,validated_priority_A,Osso VR,osso.com,xr_software_vendor,30,20,17,15,8,5,3,98,validated_priority_A,advance_to_contact_research,true,"Strong VR medical training vendor fit; healthcare context requires review",https://www.axios.com/2022/03/24/osso-vr-nets-66m-series-c
OL-0003,validated_priority_B,Virti,virti.com,xr_software_vendor,26,18,8,13,5,2,3,75,validated_priority_B,advance_to_contact_research_with_source_check,true,"Good fit but public-profile source needs official confirmation",https://en.wikipedia.org/wiki/Virti
OL-0004,validated_priority_C,VirtaMed,virtamed.com,medical_simulation,24,18,6,12,5,2,3,70,validated_priority_B,hold_region_and_current_source_review,true,"Medical simulation fit; region/current source review required",https://en.wikipedia.org/wiki/VirtaMed
OL-0005,hold_needs_more_research,MSR - Israel Center for Medical Simulation,msr.org.il,medical_simulation,22,16,5,10,5,0,2,60,validated_priority_C,hold_unless_international_outreach_approved,true,"Strong simulation context but outside default scope",https://en.wikipedia.org/wiki/Amitai_Ziv
OL-0006,hold_needs_more_research,Virtual Reality and Education Laboratory,ecu.edu,higher_education_xr,20,14,3,8,4,5,4,58,validated_priority_C,hold_for_current_activity_review,true,"Likely stale/historical; verify current status",https://en.wikipedia.org/wiki/Virtual_Reality_and_Education_Laboratory
OL-0007,validated_priority_C,King's College London,kcl.ac.uk,higher_education_xr,22,12,5,8,6,0,4,57,validated_priority_C,hold_for_specific_program_research,true,"Reboot logo signal; find specific XR program/contact before outreach",https://www.rebootimagine.com/
OL-0008,validated_priority_B,Icahn School of Medicine at Mount Sinai,mssm.edu,medical_simulation,26,14,6,12,6,5,3,72,validated_priority_B,hold_for_internal_relationship_and_suppression_check,true,"Reboot logo signal and medical education fit; must check relationship/suppression",https://www.rebootimagine.com/
OL-0009,validated_priority_B,Prisms,prismsvr.com,xr_software_vendor,26,16,6,12,6,5,4,75,validated_priority_B,advance_to_contact_research_with_source_check,true,"Education XR vendor/logo signal; contact research needed",https://www.rebootimagine.com/
OL-0010,validated_priority_B,Acadicus,acadicus.com,medical_simulation,26,16,6,12,6,5,3,74,validated_priority_B,advance_to_contact_research_with_source_check,true,"Medical simulation/XR vendor logo signal; contact research needed",https://www.rebootimagine.com/
OL-0011,validated_priority_B,The Glimpse Group,theglimpsegroup.com,xr_software_vendor,24,14,5,11,6,5,4,69,validated_priority_C,hold_for_fit_specificity,true,"XR company/logo signal; managed-services pain needs verification",https://www.rebootimagine.com/
OL-0012,validated_priority_B,Motive.io,motive.io,xr_software_vendor,26,16,6,12,6,5,4,75,validated_priority_B,advance_to_contact_research_with_source_check,true,"XR training/vendor logo signal; Canada fits default scope",https://www.rebootimagine.com/
