contact_id,collected_at,organization_name,organization_domain,organization_url,ICP_cluster,contact_name,contact_title,contact_role_classification,contact_source_url,contact_source_type,visible_XR_signal,fit_reason,email,email_source_url,email_validation_status,business_relevance_note,human_review_required,raw_status,review_notes
RC-0001,2026-06-24,Osso VR,osso.com,https://www.osso.com/,xr_software_vendor,Justin Barad,CEO,executive_buyer,https://www.axios.com/2022/03/24/osso-vr-nets-66m-series-c,news_article,VR surgical training platform,"XR software vendor with healthcare training deployments; likely deployment/support partner fit",,,not_collected,"Vendor-side deployment/support burden likely relevant; verify current role and official contact route before outreach",true,raw_contact_collected,"No personal email collected; public source confirms CEO role and VR surgical training context"
RC-0002,2026-06-24,Strivr,strivr.com,https://www.strivr.com/,xr_software_vendor,Derek Belch,Founder and CEO,executive_buyer,https://en.wikipedia.org/wiki/Derek_Belch,public_profile,VR training platform,"Enterprise VR training company; likely customer deployment/support operations relevance",,,not_collected,"Vendor-side customer deployment and headset support burden likely relevant; verify from official source before outreach",true,raw_contact_collected,"No personal email collected; source is public profile, needs official confirmation"
RC-0003,2026-06-24,Strivr,strivr.com,https://www.strivr.com/,xr_software_vendor,Derek Belch,CEO,executive_buyer,https://www.axios.com/2021/09/29/virtual-reality-training-walmart-nfl,news_article,Large-scale VR training deployment,"Axios cites Strivr and Walmart headset training scale; strong pilot-to-scale relevance",,,not_collected,"Large headset deployment context makes Reboot Imagine operational support thesis relevant",true,raw_contact_collected,"Duplicate person retained as separate source evidence; dedupe in validation"
RC-0004,2026-06-24,Virti,virti.com,https://virti.com/,xr_software_vendor,Dr Alexander Young,Founder,executive_buyer,https://en.wikipedia.org/wiki/Virti,public_profile,AI/VR scenario training platform,"Immersive training platform used in healthcare and workforce settings; potential vendor support fit",,,not_collected,"Verify current title and official source before outreach",true,raw_contact_collected,"No email collected; public profile source only"
RC-0005,2026-06-24,Virti,virti.com,https://virti.com/,xr_software_vendor,Kurt Kratchman,CEO,executive_buyer,https://en.wikipedia.org/wiki/Virti,public_profile,AI/VR scenario training platform,"Immersive training platform with healthcare/workforce customer context; potential deployment/support fit",,,not_collected,"Verify current title and official source before outreach",true,raw_contact_collected,"No email collected; public profile source only"
RC-0006,2026-06-24,VirtaMed,virtamed.com,https://www.virtamed.com/,medical_simulation,Stefan Tuchschmid,Co-founder,executive_or_founder,https://en.wikipedia.org/wiki/VirtaMed,public_profile,VR medical simulator company,"Medical simulation company with simulator products and support/maintenance/fleet-management relevance",,,not_collected,"Outside-US parent organization but has US subsidiary signal in source; human review before outreach",true,raw_contact_collected,"No email collected; public profile source only"
RC-0007,2026-06-24,VirtaMed,virtamed.com,https://www.virtamed.com/,medical_simulation,Daniel Bachofen,Co-founder,executive_or_founder,https://en.wikipedia.org/wiki/VirtaMed,public_profile,VR medical simulator company,"Medical simulation vendor; potential partner/vendor support fit",,,not_collected,"Verify current role before any contact research",true,raw_contact_collected,"No email collected; public profile source only"
RC-0008,2026-06-24,MSR - The Israel Center for Medical Simulation,msr.org.il,https://eng.msr.org.il/,medical_simulation,Amitai Ziv,Founder and Director,program_champion,https://en.wikipedia.org/wiki/Amitai_Ziv,public_profile,Medical simulation center,"Major medical simulation center; strong conceptual fit but geography requires review",,,not_collected,"Outside default US/Canada scope; hold unless international outreach approved",true,raw_contact_collected,"No email collected; public profile source only"
RC-0009,2026-06-24,Virtual Reality and Education Laboratory,ecu.edu,https://education.ecu.edu/,higher_education_xr,Veronica S. Pantelidis,Professor and Co-director,program_champion,https://en.wikipedia.org/wiki/Virtual_Reality_and_Education_Laboratory,public_profile,Virtual reality education laboratory,"Higher education VR lab; strong seed/calibration contact, but source may be stale",,,not_collected,"Validate current association before outreach",true,raw_contact_collected,"No email collected; source may be historical"
RC-0010,2026-06-24,Virtual Reality and Education Laboratory,ecu.edu,https://education.ecu.edu/,higher_education_xr,David C. Vinciguerra,VR Instructor and Co-director,program_champion,https://en.wikipedia.org/wiki/Virtual_Reality_and_Education_Laboratory,public_profile,Virtual reality education laboratory,"Higher education VR lab; potential education XR contact category",,,not_collected,"Validate current association before outreach",true,raw_contact_collected,"No email collected; source may be historical"
RC-0011,2026-06-24,XR Lab / TimeWave,timewavefestival.com,http://timewavefestival.com/,enterprise_innovation_lab,J Dakota Powell,Founder,program_champion,https://en.wikipedia.org/wiki/J_Dakota_Powell,public_profile,XR Lab / immersive media programs,"XR lab founder; useful calibration contact for immersive program searches",,,not_collected,"May be creative/media rather than operational XR fleet buyer; validate fit before outreach",true,raw_contact_collected,"No email collected; lower priority"
RC-0012,2026-06-24,The Virtual Reality Company,thevrcompany.com,http://thevrcompany.com/,location_based_entertainment,Guy Primus,CEO and co-founder,executive_buyer,https://en.wikipedia.org/wiki/Guy_Primus,public_profile,Virtual reality company / LBE content,"XR company leadership; possible vendor/partner contact but not first-priority managed services fit",,,not_collected,"Validate current role and business relevance before outreach",true,raw_contact_collected,"No email collected; lower priority"
